customer_id,signup_date,segment,country
1,2024-09-05,new,India
2,2024-10-14,returning,India
3,2024-03-27,new,UAE
4,2024-02-09,returning,India
5,2024-08-17,returning,India
6,2024-01-12,new,India
7,2024-03-31,returning,UK
8,2024-01-11,returning,India
9,2024-10-05,returning,USA
10,2024-03-26,returning,UK
11,2024-04-18,new,Singapore
12,2024-11-08,new,UAE
13,2024-06-13,returning,India
14,2024-03-01,new,Singapore
15,2024-05-10,new,India
16,2024-05-27,new,India
17,2024-11-25,returning,UK
18,2024-04-12,new,UAE
19,2024-06-27,returning,India
20,2024-12-24,returning,India
21,2024-08-02,returning,Singapore
22,2024-09-01,returning,Singapore
23,2024-05-20,returning,India
24,2024-09-30,new,India
25,2024-09-13,new,Singapore
26,2024-04-22,new,Singapore
27,2024-03-31,new,USA
28,2024-04-17,returning,UAE
29,2024-11-19,returning,India
30,2024-05-23,returning,India
31,2024-09-17,returning,UAE
32,2024-12-29,new,UK
33,2024-09-03,new,UK
34,2024-10-10,new,India
35,2024-06-28,returning,India
36,2024-12-25,returning,India
37,2024-09-22,returning,Singapore
38,2024-10-25,new,India
39,2024-11-15,new,Singapore
40,2024-05-02,returning,India
41,2024-01-26,new,UK
42,2024-12-06,returning,India
43,2024-09-11,returning,USA
44,2024-12-09,returning,India
45,2024-04-12,new,India
46,2024-10-16,returning,UK
47,2024-04-12,returning,USA
48,2024-12-14,returning,USA
49,2024-05-20,new,India
50,2024-07-16,returning,India
51,2024-10-20,new,Singapore
52,2024-02-12,new,UAE
53,2024-03-03,returning,UK
54,2024-01-25,returning,USA
55,2024-08-19,returning,UK
56,2024-04-07,returning,Singapore
57,2024-01-05,new,UAE
58,2024-12-09,returning,Singapore
59,2024-04-13,returning,India
60,2024-04-23,returning,India
61,2024-06-25,new,UAE
62,2024-12-06,returning,UK
63,2024-10-22,new,UK
64,2024-12-20,new,Singapore
65,2024-08-30,returning,Singapore
66,2024-09-05,returning,UK
67,2024-03-18,new,India
68,2024-10-23,new,UK
69,2024-10-29,returning,India
70,2024-08-20,returning,USA
71,2024-01-08,new,India
72,2024-12-07,returning,India
73,2024-01-23,new,UK
74,2024-01-31,new,UAE
75,2024-07-07,new,Singapore
76,2024-07-25,new,India
77,2024-09-13,returning,UK
78,2024-03-05,returning,UK
79,2024-12-04,returning,USA
80,2024-03-23,returning,Singapore
81,2024-10-10,new,UAE
82,2024-05-01,returning,UAE
83,2024-09-09,returning,USA
84,2024-12-15,returning,USA
85,2024-02-16,new,India
86,2024-01-25,returning,India
87,2024-08-16,returning,India
88,2024-08-16,new,India
89,2024-01-28,new,India
90,2024-01-27,new,Singapore
91,2024-05-08,new,UK
92,2024-04-02,returning,UAE
93,2024-07-07,new,UK
94,2024-02-21,returning,UK
95,2024-07-02,new,Singapore
96,2024-07-02,returning,India
97,2024-02-06,new,UAE
98,2024-06-16,returning,USA
99,2024-06-08,returning,Singapore
100,2024-10-10,new,UAE
101,2024-09-10,new,India
102,2024-06-05,returning,Singapore
103,2024-11-30,new,India
104,2024-03-15,new,UK
105,2024-06-23,new,USA
106,2024-03-12,returning,USA
107,2024-04-07,new,USA
108,2024-11-09,returning,India
109,2024-01-20,returning,Singapore
110,2024-01-06,new,Singapore
111,2024-11-25,new,India
112,2024-06-06,returning,USA
113,2024-03-24,returning,India
114,2024-03-04,returning,India
115,2024-05-31,returning,Singapore
116,2024-10-31,returning,India
117,2024-06-13,returning,UAE
118,2024-10-06,returning,India
119,2024-03-14,returning,India
120,2024-01-23,returning,UAE
121,2024-07-29,new,UAE
122,2024-05-01,new,India
123,2024-08-14,returning,UK
124,2024-12-23,returning,India
125,2024-01-23,returning,India
126,2024-11-26,new,India
127,2024-08-19,new,UAE
128,2024-11-30,new,USA
129,2024-02-16,returning,India
130,2024-08-12,returning,India
131,2024-08-28,new,USA
132,2024-09-12,returning,UK
133,2024-07-22,returning,India
134,2024-03-20,returning,India
135,2024-04-13,returning,India
136,2024-09-17,returning,USA
137,2024-05-02,new,India
138,2024-06-26,returning,UK
139,2024-02-08,new,UK
140,2024-03-23,returning,India
141,2024-02-21,returning,India
142,2024-12-07,new,India
143,2024-04-20,new,USA
144,2024-11-19,returning,UAE
145,2024-04-27,returning,Singapore
146,2024-09-10,returning,India
147,2024-09-16,returning,India
148,2024-12-27,new,India
149,2024-04-12,new,India
150,2024-10-15,returning,India
151,2024-04-15,returning,UK
152,2024-03-22,returning,India
153,2024-09-23,returning,UK
154,2024-07-08,returning,Singapore
155,2024-01-20,new,UAE
156,2024-06-13,returning,India
157,2024-01-02,returning,Singapore
158,2024-02-20,returning,India
159,2024-10-14,returning,UK
160,2024-10-01,returning,UK
161,2024-01-04,new,India
162,2024-12-08,new,UK
163,2024-01-14,returning,UK
164,2024-08-02,new,USA
165,2024-02-19,new,India
166,2024-05-21,new,India
167,2024-03-22,new,UAE
168,2024-02-09,returning,Singapore
169,2024-08-05,returning,UK
170,2024-10-18,new,India
