touchpoint_id,customer_id,channel,campaign_name,touch_date,cost_inr
1,1,direct,typed_url,2024-06-24 16:58:15,0.0
2,1,social_organic,ig_organic,2024-06-26 16:58:15,0.0
3,2,organic_search,seo_category,2024-04-17 21:38:30,0.0
4,2,referral,coupon_site,2024-04-28 21:38:30,59.72
5,2,paid_search,competitor_kw,2024-04-21 21:38:30,262.24
6,2,social_paid,fb_prospecting,2024-04-20 21:38:30,204.55
7,2,direct,direct_visit,2024-05-07 21:38:30,0.0
8,2,paid_search,product_generic,2024-06-01 21:38:30,167.36
9,3,email,welcome_series,2024-06-24 18:55:08,32.51
10,4,email,welcome_series,2024-02-02 15:33:32,39.09
11,4,email,cart_abandon,2024-02-11 15:33:32,25.77
12,4,email,cart_abandon,2024-02-12 15:33:32,34.88
13,4,email,welcome_series,2024-03-06 15:33:32,25.83
14,5,social_paid,ig_retarget,2024-05-28 13:22:06,189.26
15,5,email,cart_abandon,2024-05-31 13:22:06,6.49
16,6,email,reengagement,2024-08-18 16:56:22,38.55
17,6,organic_search,seo_blog,2024-08-29 16:56:22,0.0
18,7,social_paid,fb_prospecting,2024-01-20 08:50:08,191.75
19,7,paid_search,brand_search_q1,2024-01-30 08:50:08,139.91
20,7,email,welcome_series,2024-02-07 08:50:08,23.67
21,8,email,reengagement,2024-02-09 05:41:11,10.74
22,8,social_paid,ig_retarget,2024-02-16 05:41:11,224.46
23,8,paid_search,product_generic,2024-03-08 05:41:11,103.06
24,8,direct,bookmark,2024-03-04 05:41:11,0.0
25,9,paid_search,brand_search_q1,2024-03-20 21:18:47,186.6
26,9,social_paid,fb_lookalike,2024-03-30 21:18:47,185.98
27,9,email,welcome_series,2024-03-24 21:18:47,24.6
28,10,organic_search,seo_category,2024-03-12 21:03:34,0.0
29,11,social_paid,fb_lookalike,2024-07-04 03:42:34,282.53
30,11,paid_search,product_generic,2024-07-06 03:42:34,124.84
31,11,paid_search,competitor_kw,2024-07-20 03:42:34,171.27
32,11,paid_search,brand_search_q1,2024-08-06 03:42:34,151.18
33,12,organic_search,seo_blog,2024-07-03 07:35:56,0.0
34,12,referral,partner_a,2024-07-06 07:35:56,49.92
35,12,social_paid,fb_prospecting,2024-07-23 07:35:56,274.29
36,12,email,cart_abandon,2024-08-02 07:35:56,19.01
37,12,paid_search,brand_search_q1,2024-08-04 07:35:56,191.28
38,13,paid_search,brand_search_q1,2024-02-12 11:33:05,74.18
39,13,social_paid,ig_retarget,2024-02-26 11:33:05,234.43
40,13,email,reengagement,2024-02-18 11:33:05,37.94
